Total lanes,Express lanes,Bagging,Average interval,,,,,,
10012,2209,7803,40360,1,0.490711147,447,127.2885572,200.7960199,201
10010,302,9708,116040,8,3.867732268,1632,719.1495017,192.7574751,602
10006,2347,7574,47125,1,0.522086748,467,133.7016807,198.0042017,238
10019,376,9601,114940,7,3.318395049,1752,635.3434343,193.5016835,594
10002,560,9435,114085,5,2.412617477,1698,477.78125,187.6398026,608
10050,2520,7438,38640,1,0.488955224,463,123.7524272,187.5728155,206
10037,2563,7474,64115,1,0.498953871,460,138.966967,192.5375375,333
10042,2106,7868,87765,2,0.530770763,644,160.8450704,206.0211268,426
10003,148,9851,117750,62,31.35049485,6038,2883.194783,204.7826087,575
10011,163,9828,117715,65,30.98641494,5995,2627.228758,192.3447712,612
10003,2379,7624,67020,1,0.500549835,454,143.5088235,197.1176471,340
10048,2435,7551,33140,1,0.466062898,458,121.758427,186.1797753,178
10020,2619,7401,51555,1,0.489221557,422,125.8028674,184.7849462,279
Average,,,,,,,,,
10015.12,2073.32,7927.16,64509.2,5.52,2.67574445,952.46,356.1938223,196.5162771,328.14
,,,,,,,,,
Total lanes,Express lanes,Bagging,Average interval,,,,,,
12,1,Employee,30,,,,,,
Simulation Time,Idle Time,Busy Time,Busy Based on Service,Maximum Queue Length,Avg. Queue Length,Maximum Waiting Time,Avg. Waiting Time,Avg. Service Time,Shopper Count
10002,396,9606,114955,8,3.129674065,1566,577.8181818,186.6152597,616
10006,2692,7314,47930,1,0.462122726,490,141.8371041,216.8778281,221
10010,2303,7696,81705,2,0.534865135,480,149.5831325,196.8795181,415
10042,2322,7671,77425,1,0.525393348,469,147.226601,190.7019704,406
10006,177,9792,117160,64,31.8339996,6077,2905.11324,204.1114983,574
9995,2551,7450,36570,1,0.466033017,435,117.7748691,191.4659686,191
10005,347,9651,115460,6,3.131234383,1593,650.1663748,202.206655,571
10013,316,9683,114565,5,2.786177969,1438,575.7173913,191.5802676,598
10039,2413,7626,40490,1,0.503038151,456,126.9027778,187.4537037,216
10001,147,9849,117930,63,31.53614639,6042,2810.850993,195.2483444,604
10010,2383,7627,45230,1,0.453546454,438,139.4772727,205.5909091,220
10010,2474,7498,55210,1,0.533466533,479,136.7137809,195.0883392,283
10012,2054,7926,76165,1,0.507890531,486,148.4713542,198.3463542,384
10012,357,9595,114755,8,2.913603676,1688,541.7323232,193.1902357,594
10006,2279,7727,40645,1,0.44503298,458,131.2288557,202.2139303,201
10008,2457,7551,69300,1,0.502498002,469,147.1589595,200.2890173,346
10008,429,9559,115530,7,3.414868106,1948,648.5170648,197.1501706,586
10034,1783,8206,81140,1,0.513553917,487,152.0889423,195.0480769,416
10021,2074,7947,77970,1,0.49655723,482,144.8938272,192.5185185,405
10017,2131,7886,85935,1,0.491664171,481,146.6598639,194.8639456,441
10034,2980,7054,40125,1,0.505680686,436,132.31,200.625,200
10019,2113,7882,53715,1,0.500349336,474,143.2814815,198.9444444,270
10005,2442,7563,41710,1,0.509245377,441,130.42723,195.8215962,213
10009,185,9815,117735,63,31.64112299,5961,2842.290323,199.8896435,589
10012,2088,7906,80185,1,0.518777467,488,149.3400504,201.97733,397
10004,2238,7746,63835,1,0.515893643,489,152.072327,200.7389937,318
10005,2605,7346,45235,1,0.487156422,473,147.8243243,203.7612613,222
10004,2024,7980,80505,1,0.549080368,458,140.6518692,188.0957944,428
10002,2518,7437,52035,1,0.561687662,474,143.4633205,200.9073359,259
10013,2493,7506,39985,1,0.449116149,428,124.2211982,184.2626728,217
10008,180,9810,117710,64,31.41786571,6017,2806.60241,202.5989673,581
10001,276,9725,116420,10,5.773422658,2298,1050.213058,200.0343643,582
10014,385,9629,114980,9,4.721290194,2114,887.7806122,195.5442177,588
10003,2655,7343,55785,1,0.529041288,482,146.837037,206.6111111,270
10011,1999,8012,52595,1,0.524223354,453,135.9259259,194.7962963,270
10008,420,9577,115770,10,4.414468425,2400,831.1842576,207.1019678,559
10001,331,9620,115880,7,3.569043096,1786,724.7204861,201.1805556,576
10005,2389,7574,41870,1,0.48135932,460,129.7477477,188.6036036,222
10013,290,9700,115900,10,5.186157995,2208,995.0904348,201.5652174,575
10015,313,9657,115615,10,4.861407888,2096,898.6976744,206.8246869,559
10003,393,9600,115555,11,5.124362691,2356,925.6545769,199.5768566,579
10053,2420,7580,42815,1,0.495772406,425,132.5,189.4469027,226
10021,2132,7889,54225,1,0.50573795,443,137.4296029,195.7581227,277
10002,1890,8112,85295,1,0.523295341,469,147.8344988,198.8228438,429
10000,2053,7963,67320,1,0.5063,450,150.0030675,206.5030675,326
10016,2360,7610,69400,1,0.516273962,475,148.058651,203.5190616,341
10001,296,9670,114930,7,3.03219678,1763,595.3886986,196.7979452,584
10002,164,9832,117420,62,31.42161568,5863,2780.654237,199.0169492,590
10006,379,9618,115605,7,3.020187887,1708,559.8368679,188.588907,613
10005,2112,7887,56765,1,0.466866567,489,146.7446043,204.1906475,278
Average,,,,,,,,,
10011.04,1544.16,8450.06,80859.8,9.26,4.570207313,1426.78,579.5343897,197.9909375,408.52
,,,,,,,,,
Total lanes,Express lanes,Bagging,Average interval,,,,,,
12,1,Employee,20,,,,,,
Simulation Time,Idle Time,Busy Time,Busy Based on Service,Maximum Queue Length,Avg. Queue Length,Maximum Waiting Time,Avg. Waiting Time,Avg. Service Time,Shopper Count
10005,445,9560,114465,5,1.976911544,1132,414.9259259,192.7020202,594
10004,1975,8022,81385,1,0.511695322,473,143.9075829,192.8554502,422
10009,2827,7182,62615,1,0.538115696,466,136.1529052,191.4831804,327
10015,548,9467,114685,3,1.118921618,795,271.6197183,201.9102113,568
9997,2215,7786,69220,1,0.515054516,498,155.3945783,208.4939759,332
10001,561,9419,114660,4,1.869713029,1229,408.3791304,199.4086957,575
10004,372,9632,115880,6,3.166633347,1763,650.9776632,199.1065292,582
10008,302,9684,115605,5,2.647881695,1460,554.9879725,198.6340206,582
10015,208,9789,117500,36,16.59420869,4548,1916.558621,202.5862069,580
10002,125,9877,118030,120,59.9315137,7463,3531.542024,202.4528302,583
10004,461,9543,113975,5,2.413134746,1563,528.1848592,200.6602113,568
10007,111,9896,117605,119,59.67372839,7195,3360.576728,198.3220911,593
10004,177,9827,117300,31,15.63334666,4529,1956.836039,190.4220779,616
10003,2318,7662,80005,1,0.540237929,485,148.5445783,192.7831325,415
10002,2073,7929,83160,1,0.542591482,468,153.2289157,200.3855422,415
10001,136,9855,117435,116,56.58054195,7003,3384.980424,191.5742251,613
10006,1710,8279,81895,1,0.5009994,478,147.9927711,197.3373494,415
10013,2537,7476,58440,1,0.488464996,453,133.7866242,186.1146497,314
10003,230,9765,116320,36,18.02839148,4665,2124.106845,194.1903172,599
10001,2156,7828,81075,1,0.527447255,481,159.6075949,205.2531646,395
10004,205,9799,117125,36,17.83276689,4713,2165.604895,204.763986,572
10026,2063,7963,79720,1,0.517155396,433,153.1040609,202.3350254,394
10010,2710,7300,66590,1,0.506593407,465,144.1782477,201.1782477,331
10010,2233,7777,79465,1,0.544755245,465,148.5087282,198.1670823,401
10024,320,9638,115780,5,2.812849162,1460,594.0319865,194.9158249,594
10006,1717,8276,97735,2,0.547271637,550,160.989648,202.3498965,483
10020,1955,8013,84170,2,0.509081836,494,151.9699074,194.837963,432
10011,500,9492,115520,4,1.439716312,1071,333.1168614,192.8547579,599
10008,2669,7324,53630,1,0.497601918,464,136.5836299,190.8540925,281
10022,525,9497,114255,5,1.583216923,1149,343.2191781,195.6421233,584
10012,350,9662,115415,6,2.888433879,1812,595.8109541,203.9134276,566
10001,336,9646,115575,6,2.885711429,1398,600.1065292,198.5824742,582
10012,2351,7645,81590,1,0.531262485,471,145.7917676,197.5544794,413
10001,2045,7956,81525,2,0.531546845,481,154.7396594,198.3576642,411
10016,319,9697,116040,5,2.089257188,1245,456.6959459,196.0135135,592
